Episode no = 1590; won: False; Q(s,a) = 98.24198954410586; reward = -469.0; and epsilon = 0.788, win percentage = 0.0, 2022-04-26 07:29:59
Episode no = 1600; won: False; Q(s,a) = 82.64377476581211; reward = -472.0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2022-04-26 07:30:03
Episode no = 1610; won: False; Q(s,a) = 91.42824226413006; reward = -469.0; and epsilon = 0.7853333333333333, win percentage = 0.0, 2022-04-26 07:30:08
Episode no = 1620; won: False; Q(s,a) = 98.61940622594628; reward = -325.0; and epsilon = 0.784, win percentage = 0.0, 2022-04-26 07:30:13
Episode no = 1630; won: False; Q(s,a) = 100.25434956943627; reward = -409.0; and epsilon = 0.7826666666666666, win percentage = 0.0, 2022-04-26 07:30:17
Episode no = 1640; won: False; Q(s,a) = 130.9180773086422; reward = -496.0; and epsilon = 0.7813333333333333, win percentage = 0.0, 2022-04-26 07:30:21
Episode no = 1650; won: False; Q(s,a) = 103.40324133846943; reward = -464.0; and epsilon = 0.78, win percentage = 0.0, 2022-04-26 07:30:28
Episode no = 1660; won: False; Q(s,a) = 108.32481999478286; reward = -250.0; and epsilon = 0.7786666666666666, win percentage = 0.0, 2022-04-26 07:30:35
Episode no = 1670; won: False; Q(s,a) = 100.51964618828991; reward = -438.0; and epsilon = 0.7773333333333333, win percentage = 0.0, 2022-04-26 07:30:39
Episode no = 1680; won: False; Q(s,a) = 103.519891526332; reward = -425.0; and epsilon = 0.776, win percentage = 0.0, 2022-04-26 07:30:43
Episode no = 1690; won: False; Q(s,a) = 105.30304683108594; reward = -383.0; and epsilon = 0.7746666666666666, win percentage = 0.0, 2022-04-26 07:30:47
Episode no = 1700; won: False; Q(s,a) = 94.21222738223017; reward = -375.0; and epsilon = 0.7733333333333333, win percentage = 0.0, 2022-04-26 07:30:52
Episode no = 1710; won: False; Q(s,a) = 107.493155224561; reward = -471.0; and epsilon = 0.772, win percentage = 0.0, 2022-04-26 07:30:56
Episode no = 1720; won: False; Q(s,a) = 100.36733227825358; reward = -468.0; and epsilon = 0.7706666666666666, win percentage = 0.0, 2022-04-26 07:31:00
Episode no = 1730; won: False; Q(s,a) = 106.42478598626671; reward = -455.0; and epsilon = 0.7693333333333333, win percentage = 0.0, 2022-04-26 07:31:05
Episode no = 1740; won: False; Q(s,a) = 108.32116885205212; reward = -437.0; and epsilon = 0.768, win percentage = 0.0, 2022-04-26 07:31:10
Episode no = 1750; won: False; Q(s,a) = 137.98385555596528; reward = -460.0; and epsilon = 0.7666666666666666, win percentage = 0.0, 2022-04-26 07:31:17
Episode no = 1760; won: False; Q(s,a) = 118.90558156486055; reward = -384.0; and epsilon = 0.7653333333333333, win percentage = 0.0, 2022-04-26 07:31:24
Episode no = 1770; won: False; Q(s,a) = 107.44146845098804; reward = -353.0; and epsilon = 0.764, win percentage = 0.0, 2022-04-26 07:31:28
Episode no = 1780; won: False; Q(s,a) = 95.3459660158431; reward = -422.0; and epsilon = 0.7626666666666666, win percentage = 0.0, 2022-04-26 07:31:31
Episode no = 1790; won: False; Q(s,a) = 125.10204480397536; reward = -377.0; and epsilon = 0.7613333333333333, win percentage = 0.0, 2022-04-26 07:31:37
Episode no = 1800; won: False; Q(s,a) = 95.02232329841928; reward = -401.0; and epsilon = 0.76, win percentage = 0.0, 2022-04-26 07:31:45
Episode no = 1810; won: False; Q(s,a) = 110.15902435477787; reward = -470.0; and epsilon = 0.7586666666666666, win percentage = 0.0, 2022-04-26 07:31:50
Episode no = 1820; won: False; Q(s,a) = 111.20357058651427; reward = -383.0; and epsilon = 0.7573333333333333, win percentage = 0.0, 2022-04-26 07:31:54
Episode no = 1830; won: False; Q(s,a) = 112.88007397670373; reward = -375.0; and epsilon = 0.756, win percentage = 0.0, 2022-04-26 07:31:59
Episode no = 1840; won: False; Q(s,a) = 110.47584907359513; reward = -366.0; and epsilon = 0.7546666666666667, win percentage = 0.0, 2022-04-26 07:32:03
Episode no = 1850; won: False; Q(s,a) = 104.73351317848652; reward = -369.0; and epsilon = 0.7533333333333333, win percentage = 0.0, 2022-04-26 07:32:07
Episode no = 1860; won: False; Q(s,a) = 115.08518835182703; reward = -477.0; and epsilon = 0.752, win percentage = 0.0, 2022-04-26 07:32:11
